x,y,filename,cluster,full_path
-1.9665431,8.431707,File Formats for Books Music Video and DVD.md,0,amazon_help_pages_us_prod/General Documentation/File Formats for Books Music Video and DVD.md
-1.2175332,10.521267,Vine enrollment fee for sellers.md,-1,amazon_help_pages_us_prod/General Documentation/Vine enrollment fee for sellers.md
1.3279014,13.496557,Changes to the Amazon Services Business Solutions Agreement.md,-1,amazon_help_pages_us_prod/General Documentation/Changes to the Amazon Services Business Solutions Agreement.md
-5.106468,11.945363,Child restraint systems booster seats and travel systems.md,0,amazon_help_pages_us_prod/General Documentation/Child restraint systems booster seats and travel systems.md
4.2489166,9.146912,Seller Wallet user permissions.md,0,amazon_help_pages_us_prod/General Documentation/Seller Wallet user permissions.md
-3.6627073,7.5820904,Using the Report Infringement form.md,0,amazon_help_pages_us_prod/General Documentation/Using the Report Infringement form.md
-0.31922054,11.450028,FBA New Selection dashboard.md,-1,amazon_help_pages_us_prod/General Documentation/FBA New Selection dashboard.md
-1.9116077,8.348503,Video Loader Instructions.md,0,amazon_help_pages_us_prod/General Documentation/Video Loader Instructions.md
2.61525,10.937894,Canada tax and regulatory considerations.md,-1,amazon_help_pages_us_prod/General Documentation/Canada tax and regulatory considerations.md
0.13221952,14.785979,Shipping settings for individual sellers.md,-1,amazon_help_pages_us_prod/General Documentation/Shipping settings for individual sellers.md
-3.81406,9.038586,Image issues.md,0,amazon_help_pages_us_prod/General Documentation/Image issues.md
-4.0299177,6.6293488,Enrollment guidelines for India.md,0,amazon_help_pages_us_prod/General Documentation/Enrollment guidelines for India.md
0.018921614,13.890096,How does Buy Shipping work.md,14,amazon_help_pages_us_prod/General Documentation/How does Buy Shipping work.md
3.6455157,9.21564,Important Notice for International Sellers.md,-1,amazon_help_pages_us_prod/General Documentation/Important Notice for International Sellers.md
-0.06109562,13.729361,Ship from China with Buy Shipping.md,14,amazon_help_pages_us_prod/General Documentation/Ship from China with Buy Shipping.md
0.62590057,13.154819,Inbound performance feedback in Seller Central.md,0,amazon_help_pages_us_prod/General Documentation/Inbound performance feedback in Seller Central.md
2.9901028,9.310477,What is a deferred transaction.md,15,amazon_help_pages_us_prod/General Documentation/What is a deferred transaction.md
-0.43797362,8.608147,Create a Prime Exclusive Discount.md,16,amazon_help_pages_us_prod/General Documentation/Create a Prime Exclusive Discount.md
1.9064662,9.667963,Per-item selling fees.md,0,amazon_help_pages_us_prod/General Documentation/Per-item selling fees.md
2.5315537,12.881836,Pending Orders.md,8,amazon_help_pages_us_prod/General Documentation/Pending Orders.md
-5.0848017,11.907978,Marking and labeling requirements for childrens products.md,0,amazon_help_pages_us_prod/General Documentation/Marking and labeling requirements for childrens products.md
-3.659812,9.3019285,Text logo graphics and watermarks.md,0,amazon_help_pages_us_prod/General Documentation/Text logo graphics and watermarks.md
1.5056407,7.327577,Frequently Asked Questions.md,9,amazon_help_pages_us_prod/General Documentation/Frequently Asked Questions.md
-4.116739,11.199548,Jewelry  Precious Gems.md,-1,amazon_help_pages_us_prod/General Documentation/Jewelry  Precious Gems.md
-3.362987,7.660293,Register products to your brand.md,0,amazon_help_pages_us_prod/General Documentation/Register products to your brand.md
0.578506,10.971266,Selling on Amazon fee schedule.md,0,amazon_help_pages_us_prod/General Documentation/Selling on Amazon fee schedule.md
3.9546278,9.039291,Seller Wallet vendor payments.md,0,amazon_help_pages_us_prod/General Documentation/Seller Wallet vendor payments.md
1.6100996,7.4561224,Policies agreements and guidelines.md,9,amazon_help_pages_us_prod/General Documentation/Policies agreements and guidelines.md
-3.3711557,10.311905,Review category requirements.md,17,amazon_help_pages_us_prod/General Documentation/Review category requirements.md
1.1968824,12.219866,Multi-Country Inventory Report.md,-1,amazon_help_pages_us_prod/General Documentation/Multi-Country Inventory Report.md
1.5839733,7.392086,Flexible Customer Financing.md,-1,amazon_help_pages_us_prod/General Documentation/Flexible Customer Financing.md
0.08683589,11.208233,Textbook Rental Policy.md,-1,amazon_help_pages_us_prod/General Documentation/Textbook Rental Policy.md
-0.73263717,11.296584,Changes to program policies.md,0,amazon_help_pages_us_prod/General Documentation/Changes to program policies.md
-0.08143007,13.163061,Multi-Channel Fulfillment Supply Chain Portal.md,0,amazon_help_pages_us_prod/General Documentation/Multi-Channel Fulfillment Supply Chain Portal.md
-1.4053463,9.332602,Common reasons you cannot find your Handmade listings.md,0,amazon_help_pages_us_prod/General Documentation/Common reasons you cannot find your Handmade listings.md
1.6343441,7.3525124,Service Provider Credential Program.md,-1,amazon_help_pages_us_prod/General Documentation/Service Provider Credential Program.md
-0.019855147,14.674117,Multi-Location Inventory MLI.md,18,amazon_help_pages_us_prod/General Documentation/Multi-Location Inventory MLI.md
-2.5667017,8.8282385,Manage Your Experiments.md,-1,amazon_help_pages_us_prod/General Documentation/Manage Your Experiments.md
0.58938843,11.043762,Refund administration fee.md,0,amazon_help_pages_us_prod/General Documentation/Refund administration fee.md
0.43156263,14.984534,Disable Prime offers and control Prime order volume.md,0,amazon_help_pages_us_prod/General Documentation/Disable Prime offers and control Prime order volume.md
-1.3386575,9.406757,Fix a no listing error.md,0,amazon_help_pages_us_prod/General Documentation/Fix a no listing error.md
1.9839033,13.95909,Prevent an A-to-z Guarantee claim.md,0,amazon_help_pages_us_prod/General Documentation/Prevent an A-to-z Guarantee claim.md
-0.5032474,9.260647,Create a sales-based pricing rule.md,19,amazon_help_pages_us_prod/General Documentation/Create a sales-based pricing rule.md
-3.5380585,7.4195547,Brand Registry selling roles.md,0,amazon_help_pages_us_prod/General Documentation/Brand Registry selling roles.md
-1.0333939,13.823259,Send shipments to Amazon Warehousing and Distribution AWD Print box labels.md,0,amazon_help_pages_us_prod/General Documentation/Send shipments to Amazon Warehousing and Distribution AWD Print box labels.md
0.13339116,14.782958,Local Delivery program.md,-1,amazon_help_pages_us_prod/General Documentation/Local Delivery program.md
-0.2850757,13.136833,Entry Type 86 FAQ.md,-1,amazon_help_pages_us_prod/General Documentation/Entry Type 86 FAQ.md
-0.119747415,13.5348015,Amazon Horizon Shipping Terms and Conditions.md,-1,amazon_help_pages_us_prod/General Documentation/Amazon Horizon Shipping Terms and Conditions.md
1.3567213,11.682785,Customer Service by Amazon Terms  Conditions.md,20,amazon_help_pages_us_prod/General Documentation/Customer Service by Amazon Terms  Conditions.md
0.5826875,14.048967,Amazon Buy Shipping protections.md,-1,amazon_help_pages_us_prod/General Documentation/Amazon Buy Shipping protections.md
-2.131121,9.774433,Your Information  Policies page.md,-1,amazon_help_pages_us_prod/General Documentation/Your Information  Policies page.md
-1.1375725,13.208399,How Amazon receives and stores your inventory.md,-1,amazon_help_pages_us_prod/General Documentation/How Amazon receives and stores your inventory.md
0.025841013,11.892671,Capacity Manager.md,0,amazon_help_pages_us_prod/General Documentation/Capacity Manager.md
-3.1341927,8.496698,Brand name approval requirements and issue resolution.md,21,amazon_help_pages_us_prod/General Documentation/Brand name approval requirements and issue resolution.md
-0.89987934,9.085414,Show a reference price on your products by providing a List Price.md,22,amazon_help_pages_us_prod/General Documentation/Show a reference price on your products by providing a List Price.md
3.0524237,11.124934,Colorado Marketplace Tax and Retail Delivery Fee Collection FAQ.md,23,amazon_help_pages_us_prod/General Documentation/Colorado Marketplace Tax and Retail Delivery Fee Collection FAQ.md
1.8712524,14.204672,Frequently-returned item badge.md,-1,amazon_help_pages_us_prod/General Documentation/Frequently-returned item badge.md
-4.0801783,6.558151,Enrollment guidelines for Singapore.md,0,amazon_help_pages_us_prod/General Documentation/Enrollment guidelines for Singapore.md
-3.9791937,11.817203,Product compliance.md,0,amazon_help_pages_us_prod/General Documentation/Product compliance.md
-3.6333952,7.6074905,Report intellectual property infringements.md,0,amazon_help_pages_us_prod/General Documentation/Report intellectual property infringements.md
-3.8241184,7.0590196,Manage Brand Registry application issues.md,0,amazon_help_pages_us_prod/General Documentation/Manage Brand Registry application issues.md
-1.445168,13.367165,Send to Amazon 2D barcodes for box content information.md,-1,amazon_help_pages_us_prod/General Documentation/Send to Amazon 2D barcodes for box content information.md
0.59977776,11.99824,Special handling fee.md,-1,amazon_help_pages_us_prod/General Documentation/Special handling fee.md
2.6604888,13.216357,Cancel an item order or multiple orders.md,8,amazon_help_pages_us_prod/General Documentation/Cancel an item order or multiple orders.md
-0.108610764,13.588634,4PX.md,14,amazon_help_pages_us_prod/General Documentation/4PX.md
3.2452254,8.501198,Amazon Lending.md,-1,amazon_help_pages_us_prod/General Documentation/Amazon Lending.md
-3.9282327,9.28097,Product not outside of packaginghas packaging tags.md,0,amazon_help_pages_us_prod/General Documentation/Product not outside of packaginghas packaging tags.md
5.8201632,9.158402,If your business location is Türkiye.md,0,amazon_help_pages_us_prod/General Documentation/If your business location is Türkiye.md
-1.5504912,9.584029,Product Opportunity Explorer FAQ.md,24,amazon_help_pages_us_prod/General Documentation/Product Opportunity Explorer FAQ.md
-3.9339511,8.81459,Authoritative Image Already Exists.md,-1,amazon_help_pages_us_prod/General Documentation/Authoritative Image Already Exists.md
3.9073093,9.0076475,Using Hyperwallet with Amazon.md,0,amazon_help_pages_us_prod/General Documentation/Using Hyperwallet with Amazon.md
-1.9540032,13.1397085,FBA Prep Service.md,0,amazon_help_pages_us_prod/General Documentation/FBA Prep Service.md
2.1248877,13.8857565,Appeal an A-to-z Guarantee claim.md,0,amazon_help_pages_us_prod/General Documentation/Appeal an A-to-z Guarantee claim.md
-4.2036495,12.1618,Hazardous and prohibited items.md,25,amazon_help_pages_us_prod/General Documentation/Hazardous and prohibited items.md
-4.3530087,11.766396,Dietary supplements.md,0,amazon_help_pages_us_prod/General Documentation/Dietary supplements.md
-4.2922015,11.757645,Laser products.md,-1,amazon_help_pages_us_prod/General Documentation/Laser products.md
-1.2626586,10.51361,Amazon Vine.md,7,amazon_help_pages_us_prod/General Documentation/Amazon Vine.md
0.6123254,13.11315,Inbound performance alerts.md,0,amazon_help_pages_us_prod/General Documentation/Inbound performance alerts.md
5.844146,9.178837,If your business location is United Kingdom.md,0,amazon_help_pages_us_prod/General Documentation/If your business location is United Kingdom.md
-2.7286217,8.712335,A content FAQ  troubleshooting.md,-1,amazon_help_pages_us_prod/General Documentation/A content FAQ  troubleshooting.md
2.1521719,9.948047,Account settings FAQ.md,-1,amazon_help_pages_us_prod/General Documentation/Account settings FAQ.md
-0.24604891,14.034236,Reprint a shipping label.md,-1,amazon_help_pages_us_prod/General Documentation/Reprint a shipping label.md
-1.8747125,8.495441,Custom and Category Custom templates.md,0,amazon_help_pages_us_prod/General Documentation/Custom and Category Custom templates.md
-0.1573376,9.688683,Additional tips for increasing sales.md,-1,amazon_help_pages_us_prod/General Documentation/Additional tips for increasing sales.md
-2.327347,7.9769163,Establish Product Relationships - Relationship Feed Schema not applicable to all categories.md,0,amazon_help_pages_us_prod/General Documentation/Establish Product Relationships - Relationship Feed Schema not applicable to all categories.md
1.6550798,9.999525,North America and Brazil Unified Account FAQ.md,0,amazon_help_pages_us_prod/General Documentation/North America and Brazil Unified Account FAQ.md
-3.702706,12.680984,FBA product restrictions.md,0,amazon_help_pages_us_prod/General Documentation/FBA product restrictions.md
2.5020807,13.638799,Guidelines for charging restocking fees.md,-1,amazon_help_pages_us_prod/General Documentation/Guidelines for charging restocking fees.md
2.899329,10.89369,Tax on US seller fees FAQ.md,23,amazon_help_pages_us_prod/General Documentation/Tax on US seller fees FAQ.md
-4.8297863,12.267125,Electronic mobility e-mobility accessories.md,26,amazon_help_pages_us_prod/General Documentation/Electronic mobility e-mobility accessories.md
-3.9379091,9.345052,Human Model.md,0,amazon_help_pages_us_prod/General Documentation/Human Model.md
0.41115832,12.267803,Multi-Channel Distribution fees.md,0,amazon_help_pages_us_prod/General Documentation/Multi-Channel Distribution fees.md
-4.4730964,10.9085245,Handmade Pet Supplies guidelines.md,-1,amazon_help_pages_us_prod/General Documentation/Handmade Pet Supplies guidelines.md
-0.060308423,8.612568,Select audience for coupons.md,-1,amazon_help_pages_us_prod/General Documentation/Select audience for coupons.md
-4.656785,12.359735,California Energy Commission CEC.md,6,amazon_help_pages_us_prod/General Documentation/California Energy Commission CEC.md
-1.9687771,9.650178,Amazon Custom.md,0,amazon_help_pages_us_prod/General Documentation/Amazon Custom.md
-3.0466552,9.447527,Product bullet points requirements.md,-1,amazon_help_pages_us_prod/General Documentation/Product bullet points requirements.md
-0.11655715,13.304631,Buy shipping using the API.md,27,amazon_help_pages_us_prod/General Documentation/Buy shipping using the API.md
-2.491041,8.06784,Determine variations for your products.md,0,amazon_help_pages_us_prod/General Documentation/Determine variations for your products.md
-2.9987946,10.315631,What does BMVD mean.md,-1,amazon_help_pages_us_prod/General Documentation/What does BMVD mean.md
-1.1272554,8.754326,Edit a listing.md,0,amazon_help_pages_us_prod/General Documentation/Edit a listing.md
-2.1588469,8.887885,Accurately classifying your products.md,-1,amazon_help_pages_us_prod/General Documentation/Accurately classifying your products.md
-4.05978,12.162821,Plant and seed products.md,-1,amazon_help_pages_us_prod/General Documentation/Plant and seed products.md
1.9002666,14.978813,Which tools are used to manage seller feedback.md,28,amazon_help_pages_us_prod/General Documentation/Which tools are used to manage seller feedback.md
4.697048,9.187572,Seller Wallet registration FAQ for sellers from Taiwan.md,0,amazon_help_pages_us_prod/General Documentation/Seller Wallet registration FAQ for sellers from Taiwan.md
4.0359564,9.098089,Seller Wallet supported countries and currencies.md,0,amazon_help_pages_us_prod/General Documentation/Seller Wallet supported countries and currencies.md
-0.3781405,13.362308,Amazon Global Selling SEND Program from Vietnam to USA.md,0,amazon_help_pages_us_prod/General Documentation/Amazon Global Selling SEND Program from Vietnam to USA.md
0.06771138,14.837426,Assign SKUs to shipping templates.md,0,amazon_help_pages_us_prod/General Documentation/Assign SKUs to shipping templates.md
3.1313083,11.012152,State Tax Registration Numbers.md,23,amazon_help_pages_us_prod/General Documentation/State Tax Registration Numbers.md
-3.3688116,10.44709,Categories and products that require approval.md,17,amazon_help_pages_us_prod/General Documentation/Categories and products that require approval.md
-2.562593,13.363561,Packaging jewelry.md,0,amazon_help_pages_us_prod/General Documentation/Packaging jewelry.md
3.7318146,9.0580635,Acceptable bank accounts and payment service providers.md,29,amazon_help_pages_us_prod/General Documentation/Acceptable bank accounts and payment service providers.md
1.9238045,7.2190185,Delivery with Services.md,30,amazon_help_pages_us_prod/General Documentation/Delivery with Services.md
-2.8277078,8.61793,Match your products.md,31,amazon_help_pages_us_prod/General Documentation/Match your products.md
3.0138097,11.061238,Tax Calculation Services Terms.md,23,amazon_help_pages_us_prod/General Documentation/Tax Calculation Services Terms.md
-3.7396507,7.196775,Brand Registry application step-by-step guide.md,0,amazon_help_pages_us_prod/General Documentation/Brand Registry application step-by-step guide.md
-1.5741972,8.42578,Manage your offers in bulk.md,-1,amazon_help_pages_us_prod/General Documentation/Manage your offers in bulk.md
1.3393595,12.275396,All Orders report.md,0,amazon_help_pages_us_prod/General Documentation/All Orders report.md
0.76271135,9.799831,Edit target store settings.md,0,amazon_help_pages_us_prod/General Documentation/Edit target store settings.md
